Course Id,Course Number,Course Title
82289,FYS 101 01,FIRST SEMINAR:LIT/VIS & PER AR
82293,FYS 101 02,FIRST SEMINAR:LIT/VIS & PER AR
82497,FYS 101 05,FIRST SEMINAR:LIT/VIS & PER AR
82574,FYS 101 06,FIRST SEMINAR:LIT/VIS & PER AR
82576,FYS 101 07,FIRST SEMINAR:LIT/VIS & PER AR
82580,FYS 101 08,FIRST SEMINAR:LIT/VIS & PER AR
82602,FYS 101 09,FIRST SEMINAR:LIT/VIS & PER AR
82603,FYS 101 10,FIRST SEMINAR:LIT/VIS & PER AR
82646,FYS 101 11,FIRST SEMINAR:LIT/VIS & PER AR
82967,FYS 101 12,FIRST SEMINAR:LIT/VIS & PER AR
82479,FYS 101 H1,FIRST SEMINAR:LIT/VIS & PER AR
82478,FYS 101 H2,FIRST SEMINAR:LIT/VIS & PER AR
82443,FYS 102 01,FIRST SEMINAR:LIT/VIS & PER AR
82496,FYS 102 02,FIRST SEMINAR:LIT/VIS & PER AR
82577,FYS 102 03,FIRST SEMINAR:LIT/VIS & PER AR
82567,FYS 103 01,FIRST SEMINAR:LIT/VIS & PER AR
82360,FYS 104 01,FIRST SEMINAR:LIT/VIS & PER AR
82559,FYS 104 02,FIRST SEMINAR:LIT/VIS & PER AR
82560,FYS 104 03,FIRST SEMINAR:LIT/VIS & PER AR
82611,FYS 104 04,FIRST SEMINAR:LIT/VIS & PER AR
82612,FYS 104 05,FIRST SEMINAR:LIT/VIS & PER AR
82581,FYS 105 01,FIRST SEMINAR:LIT/VIS & PER AR
82286,FYS 111 01,FIRST SEMINAR: WORLD VIEWS
82489,FYS 111 02,FIRST SEMINAR: WORLD VIEWS
82498,FYS 111 03,FIRST SEMINAR: WORLD VIEWS
82573,FYS 111 04,FIRST SEMINAR: WORLD VIEWS
82582,FYS 111 05,FIRST SEMINAR: WORLD VIEWS
82655,FYS 111 06,FIRST SEMINAR: WORLD VIEWS
82656,FYS 111 07,FIRST SEMINAR: WORLD VIEWS
82737,FYS 111 08,FIRST SEMINAR: WORLD VIEWS
82499,FYS 111 H1,FIRST SEMINAR: WORLD VIEWS
82500,FYS 111 H2,FIRST SEMINAR: WORLD VIEWS
82484,FYS 114 01,FIRST SEMINAR: WORLD VIEWS
82485,FYS 114 02,FIRST SEMINAR: WORLD VIEWS
82275,FYS 114 H1,FIRST SEMINAR: WORLD VIEWS
82276,FYS 114 H2,FIRST SEMINAR: WORLD VIEWS
82278,FYS 121 01,FIRST SEMINAR:BEH/SOC/CUL PERS
82279,FYS 121 02,FIRST SEMINAR:BEH/SOC/CUL PERS
82280,FYS 121 03,FIRST SEMINAR:BEH/SOC/CUL PERS
82281,FYS 121 04,FIRST SEMINAR:BEH/SOC/CUL PERS
82282,FYS 121 05,FIRST SEMINAR:BEH/SOC/CUL PERS
82288,FYS 121 06,FIRST SEMINAR:BEH/SOC/CUL PERS
82362,FYS 121 09,FIRST SEMINAR:BEH/SOC/CUL PERS
82363,FYS 121 10,FIRST SEMINAR:BEH/SOC/CUL PERS
82441,FYS 121 11,FIRST SEMINAR:BEH/SOC/CUL PERS
82442,FYS 121 12,FIRST SEMINAR:BEH/SOC/CUL PERS
82558,FYS 121 15,FIRST SEMINAR:BEH/SOC/CUL PERS
82565,FYS 121 16,FIRST SEMINAR:BEH/SOC/CUL PERS
82566,FYS 121 17,FIRST SEMINAR:BEH/SOC/CUL PERS
82604,FYS 121 19,FIRST SEMINAR:BEH/SOC/CUL PERS
82605,FYS 121 20,FIRST SEMINAR:BEH/SOC/CUL PERS
82606,FYS 121 21,FIRST SEMINAR:BEH/SOC/CUL PERS
82607,FYS 121 22,FIRST SEMINAR:BEH/SOC/CUL PERS
82608,FYS 121 23,FIRST SEMINAR:BEH/SOC/CUL PERS
82609,FYS 121 24,FIRST SEMINAR:BEH/SOC/CUL PERS
82610,FYS 121 25,FIRST SEMINAR:BEH/SOC/CUL PERS
